id;signature;num_occurences
0;0000000;3
1;0000001;1
2;0000010;2
3;0000011;1
4;0000100;1
5;0000101;2
6;0000110;4
7;0000111;3
8;0001001;3
9;0001010;6
10;0001100;8
11;0001101;2
12;0001110;1
13;0001111;5
14;0010001;1
15;0010010;6
16;0010011;1
17;0010100;5
18;0010101;1
19;0010111;7
20;0011000;1
21;0011001;1
22;0011010;2
23;0011011;2
24;0011100;6
25;0011101;5
26;0011110;2
27;0011111;2
28;0100000;2
29;0100001;4
30;0100011;1
31;0100110;5
32;0100111;2
33;0101000;1
34;0101001;2
35;0101100;6
36;0101110;1
37;0110000;1
38;0110001;5
39;0110010;1
40;0110011;3
41;0110100;2
42;0110101;3
43;0110110;3
44;0110111;2
45;0111010;3
46;0111011;9
47;0111100;7
48;0111101;3
49;0111110;1
50;1000000;5
51;1000001;1
52;1000010;2
53;1000100;3
54;1000110;1
55;1000111;2
56;1001000;1
57;1001001;2
58;1001010;7
59;1001100;1
60;1001110;1
61;1010000;1
62;1010001;2
63;1010010;2
64;1010011;3
65;1010101;1
66;1010111;4
67;1011001;2
68;1011010;3
69;1011011;1
70;1011100;3
71;1011101;2
72;1011111;2
73;1100000;2
74;1100001;1
75;1100011;4
76;1100101;4
77;1100110;8
78;1100111;4
79;1101000;1
80;1101001;1
81;1101010;1
82;1101011;3
83;1101100;7
84;1101101;4
85;1101110;2
86;1110000;1
87;1110001;1
88;1110010;1
89;1110011;1
90;1110101;5
91;1110110;4
92;1110111;5
93;1111000;1
94;1111010;1
95;1111100;1
96;1111101;2
97;1111110;4
