id;signature;num_occurences
0;00000000001000001000001;1
1;00000001101100001111101;1
2;00000010111100010011101;1
3;00000110000010011000111;4
4;00000110111000011011001;3
5;00000110111001101101001;1
6;00001000101111010001100;1
7;00001001011000000110000;1
8;00001010011110101110001;1
9;00001010110100101010001;2
10;00001011011101100100101;1
11;00001011011111110010101;1
12;00001100111110101000101;1
13;00010000000000000000000;1
14;00010001000001100110101;1
15;00010001110100011011011;3
16;00010100111110111100010;1
17;00010101111100111111010;2
18;00010110111011000011110;1
19;00010111111001000111000;1
20;00011000011010101000110;1
21;00011001010110100110110;1
22;00011001110011011001101;1
23;00011011001100000101110;1
24;00011100100010000011011;1
25;00011101010000001110001;1
26;00011111011101010100011;5
27;00011111110111010111101;1
28;00100000001101000000011;1
29;00100001101010110001111;1
30;00100100110100001011000;1
31;00101100100000010100001;3
32;00101101111111110010010;1
33;00101111110101101110011;1
34;00110000001010100101111;1
35;00110100011100110101011;1
36;00110110110010101100010;1
37;00111010011100011001011;1
38;00111100001000011001111;4
39;00111110111111010111100;1
40;01000000010010000110100;2
41;01000000011010110101111;1
42;01000100001000001100001;1
43;01000100010000111110100;6
44;01000110111010110001111;1
45;01000111011010011010110;1
46;01001011101111011011000;2
47;01001100000011111001110;1
48;01001100011111110001110;1
49;01001101111010001110000;1
50;01001111011101101111100;1
51;01001111110001011100000;4
52;01001111110010111001001;1
53;01010010011010010011001;2
54;01010010011101000101011;2
55;01010011011111000000011;1
56;01010011111101111110010;1
57;01010100100010111010000;2
58;01010101001101100100001;2
59;01011010000010101111111;1
60;01011110000011111110110;1
61;01011111010000010100001;1
62;01100010100010100000111;1
63;01100010111010110101110;1
64;01100011010111011111100;2
65;01100011011100100010011;4
66;01100110101110000000011;1
67;01101001011101000100001;1
68;01101111111011100111010;3
69;01110010000001011011110;1
70;01110011011101011000010;1
71;01110011111011001110101;1
72;01110101110010110001100;1
73;01111000101001000011001;2
74;01111001111001010110011;1
75;01111001111110010111001;1
76;01111011011110110001110;3
77;01111101110011100111010;1
78;01111101111001000110110;1
79;01111110000101110111000;1
80;01111110111101111111110;1
81;01111111011111000001110;1
82;10000100010011000111100;1
83;10000101011011101101001;1
84;10000110011111011001110;1
85;10000110111101101000100;1
86;10000111011100011100001;1
87;10001000110100010001111;2
88;10001000110111001000000;1
89;10001000111101000010010;3
90;10001001000001110100001;1
91;10001010111111111011111;1
92;10001011111110001101110;1
93;10001100100011011011100;1
94;10001100101011011110110;1
95;10001101100001100000001;1
96;10001101100100001011010;1
97;10001101110011010110110;1
98;10001110111010110101111;1
99;10010101111010000110001;4
100;10010110000011010110001;1
101;10010110110011110001110;3
102;10010111111101010000001;1
103;10010111111111111000001;1
104;10011000100001000111110;4
105;10011010110000000111100;1
106;10011110011110000010001;1
107;10100000000011111110100;1
108;10100000001000011011110;1
109;10100000001101010011100;1
110;10100001000010100001001;1
111;10100101011010111010011;1
112;10100111000100111100010;2
113;10101010011001010111011;3
114;10101100111111111010001;2
115;10101101111101010101110;1
116;10101111111010010100110;1
117;10110000110000101111000;1
118;10111000011010000110100;1
119;10111000111011011101010;3
120;10111001011111100110010;1
121;10111001110100001011010;3
122;10111011011000000110001;1
123;10111011011011110010010;1
124;10111011110010111100111;1
125;10111100110011101011100;2
126;10111110010001111000101;5
127;10111110011011011000010;1
128;10111111011111011011101;1
129;11000010011100011100000;1
130;11000011011010011111110;1
131;11000011111111010011101;2
132;11000101011111100100110;1
133;11000111010100000001101;3
134;11001001011100000011101;2
135;11001100111000010011001;3
136;11001101110001111110000;2
137;11001111110101100101011;1
138;11010000011100111010011;3
139;11010100000011101000101;1
140;11010101010001010011010;1
141;11010111111100011100100;1
142;11011000011110100110001;2
143;11011001110101010110001;1
144;11011010000000001010101;1
145;11011100000111010011110;1
146;11011100111110100101010;3
147;11011111011100011011010;6
148;11011111111100101001101;1
149;11100000010011011111110;1
150;11100001110010110110010;1
151;11100010001001000100101;1
152;11100011010000001011011;1
153;11100011011011011111100;1
154;11100100010001010111111;2
155;11100101001101000000111;1
156;11100101110010001010100;1
157;11100110000010001011000;1
158;11100110011111101101010;2
159;11100111011001100010101;7
160;11101000001000101001000;1
161;11101000111101101111010;1
162;11101001010010010101011;1
163;11101001111100110011110;2
164;11101010000101110011010;1
165;11101101011000001001000;1
166;11101110111100011111001;1
167;11110011011100101010111;1
168;11110100000001010100101;3
169;11110101111000010110101;1
170;11111000001110110111010;1
171;11111000111011010101010;2
172;11111001111101011001110;1
173;11111011010111000000100;2
174;11111100000110101111110;1
175;11111101001101110000011;1
176;11111111111010101111111;1
